t,x,y
2.899999999999999911e+00,5.717541503906250000e+02,-7.863529205322265625e+00
2.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
2.939999999999999947e+00,5.717541503906250000e+02,-7.863529205322265625e+00
2.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
2.979999999999999982e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.020000000000000018e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.060000000000000053e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.100000000000000089e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.140000000000000124e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.180000000000000160e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.220000000000000195e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.279999999999999805e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.319999999999999840e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.359999999999999876e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.399999999999999911e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.439999999999999947e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.479999999999999982e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.520000000000000018e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.560000000000000053e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.600000000000000089e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.640000000000000124e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.680000000000000160e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.720000000000000195e+00,5.717541503906250000e+02,-7.863529205322265625e+00
3.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
